iter,step,seg,loss,gn_cum,indep_gn
1,0,ans_first,1.4725,4.6541,4.6541
1,0,cq,3.1133,27.4083,27.0091
1,0,ans_final,1.5661,27.8691,4.4630
1,0,ans_first,2.4796,28.7187,6.7583
1,0,cq,1.5810,40.1355,20.0780
1,0,ans_final,1.4144,40.5302,6.1491
1,0,ans_first,2.1647,41.0799,5.5238
1,0,cq,2.0233,44.6663,14.7447
1,0,ans_final,1.5785,44.7858,3.5452
1,0,ans_first,2.1156,45.4443,7.3342
1,0,cq,1.9431,48.9600,17.2768
1,0,ans_final,1.6239,49.0565,6.0235
1,0,ans_first,2.2313,49.8859,7.2187
1,0,cq,2.0314,57.1416,21.7440
1,0,ans_final,1.5153,57.4673,4.4441
1,0,ans_first,1.6693,57.6022,8.0409
1,0,cq,1.9191,63.5192,21.5306
1,0,ans_final,1.6717,63.7601,4.3545
1,0,ans_first,1.7920,63.8610,4.4552
1,0,cq,1.1410,67.7244,23.9839
1,0,ans_final,1.9139,68.1965,6.2026
1,0,ans_first,1.7990,68.3892,4.6568
1,0,cq,1.7537,73.2647,15.3588
1,0,ans_final,1.5841,73.7426,5.2353
1,1,ans_first,1.8795,6.5274,6.5274
1,1,cq,1.7856,17.2923,16.4875
1,1,ans_final,1.7517,17.7498,5.6261
1,1,ans_first,1.9700,18.7853,6.1807
1,1,cq,1.6397,28.8844,19.9006
1,1,ans_final,1.7522,29.3329,6.4963
1,1,ans_first,1.8883,30.0103,6.5005
1,1,cq,2.6856,47.5012,32.7087
1,1,ans_final,1.2941,48.0545,4.8768
1,1,ans_first,1.8451,48.1529,4.0197
1,1,cq,2.5785,58.0929,24.1975
1,1,ans_final,1.5923,58.5075,6.8072
1,1,ans_first,1.8502,58.7092,5.3128
1,1,cq,2.2916,63.4716,19.6087
1,1,ans_final,1.6736,63.6973,5.5200
1,1,ans_first,1.8592,64.4307,10.6152
1,1,cq,2.0409,69.2720,18.7027
1,1,ans_final,1.6652,69.4746,4.6813
1,1,ans_first,2.0503,69.7398,5.8280
1,1,cq,2.5595,81.1232,23.9197
1,1,ans_final,1.6943,81.6872,6.4084
1,1,ans_first,1.6937,81.9151,5.6116
1,1,cq,1.7781,86.3881,17.0719
1,1,ans_final,1.4826,86.7275,4.8571
1,2,ans_first,1.9586,5.8188,5.8188
1,2,cq,3.6373,50.2869,49.9272
1,2,ans_final,1.5185,50.2497,3.6693
1,2,ans_first,2.1585,51.2331,7.9031
1,2,cq,2.2102,59.3470,22.3229
1,2,ans_final,1.4040,59.5746,5.2328
1,2,ans_first,1.5202,59.9734,6.1910
1,2,cq,1.3010,64.5139,15.4118
1,2,ans_final,1.5265,64.6646,4.4360
1,2,ans_first,2.1661,64.8123,7.4178
1,2,cq,3.5338,87.8022,39.5505
1,2,ans_final,1.6521,88.0947,6.7619
1,2,ans_first,2.4010,88.5658,7.4809
1,2,cq,3.3408,98.5343,26.3006
1,2,ans_final,1.4494,98.6364,3.9196
1,2,ans_first,1.5336,98.4967,5.7568
1,2,cq,1.7966,109.6655,28.0315
