iter,step,seg,loss,gn_cum,indep_gn
1,0,task_recipe,1.0512,6.3533,6.3533
1,0,task_poetry,1.6092,8.6636,5.6550
1,0,task_recipe,1.8792,10.3070,5.4795
1,0,task_poetry,1.1752,12.5075,6.1227
1,0,task_recipe,1.9104,13.8408,5.1136
1,0,task_poetry,2.1376,15.9037,7.2202
1,0,task_recipe,1.9183,16.5491,5.0140
1,0,task_poetry,2.9632,18.6833,7.1109
1,0,task_recipe,2.1352,21.0305,8.2944
1,0,task_poetry,5.6205,255.9724,253.2129
1,0,task_recipe,2.5902,256.7100,8.3875
1,0,task_poetry,9.5477,653.4677,419.9950
1,0,task_recipe,1.8534,653.4605,6.4289
1,0,task_poetry,1.8605,655.1382,10.1255
1,0,task_recipe,1.7305,654.9713,5.0669
1,0,task_poetry,1.9493,662.9467,24.6160
1,1,task_recipe,1.3915,5.8598,5.8598
1,1,task_poetry,4.9002,177.7406,177.5999
1,1,task_recipe,1.8217,177.7850,5.5201
1,1,task_poetry,1.8128,179.3713,9.4961
1,1,task_recipe,2.4695,179.4146,5.3253
1,1,task_poetry,2.7463,183.4685,16.5776
1,1,task_recipe,1.0593,184.0261,6.2654
1,1,task_poetry,2.0036,185.0191,8.6160
1,1,task_recipe,2.4196,185.7586,7.1000
1,1,task_poetry,3.0148,238.6445,75.5038
1,1,task_recipe,1.1309,238.6559,4.5204
1,1,task_poetry,1.9906,239.3017,7.8454
1,1,task_recipe,2.2755,239.4264,7.0774
1,1,task_poetry,10.7467,259.3648,64.9074
1,1,task_recipe,1.3469,259.4624,4.1220
1,1,task_poetry,1.8564,259.7008,8.0900
1,2,task_recipe,1.6562,4.8744,4.8744
1,2,task_poetry,1.0536,14.5612,13.6862
1,2,task_recipe,1.8725,16.4559,8.1359
1,2,task_poetry,2.0572,17.6429,6.3621
1,2,task_recipe,1.6696,18.7016,6.1020
1,2,task_poetry,4.2495,114.6743,111.1286
1,2,task_recipe,1.4449,114.8267,4.7666
1,2,task_poetry,2.1196,114.9942,5.6608
1,2,task_recipe,2.1332,115.0607,4.2960
1,2,task_poetry,2.2284,118.5638,13.9662
1,2,task_recipe,2.2431,119.6756,10.4511
1,2,task_poetry,1.8220,121.3870,9.3801
1,2,task_recipe,1.5247,121.3245,6.8734
1,2,task_poetry,1.8837,122.5032,6.5532
1,2,task_recipe,2.0325,122.7071,5.3424
1,2,task_poetry,2.2232,124.5863,9.2189
1,3,task_recipe,1.9223,6.1747,6.1747
1,3,task_poetry,2.3844,10.2223,8.0911
1,3,task_recipe,2.0473,15.3211,10.7890
1,3,task_poetry,1.4624,17.3828,6.7962
1,3,task_recipe,1.8784,18.4767,6.2883
1,3,task_poetry,0.9071,27.3338,19.7433
1,3,task_recipe,1.6840,28.1806,5.9602
1,3,task_poetry,4.3779,69.0992,61.8261
1,3,task_recipe,1.3061,69.4571,6.1937
1,3,task_poetry,1.8598,70.8106,7.3320
1,3,task_recipe,1.8465,71.0167,3.9869
1,3,task_poetry,1.3788,72.2686,6.8835
1,3,task_recipe,1.5528,72.5731,5.5788
1,3,task_poetry,1.0600,72.7600,3.3276
1,3,task_recipe,1.3978,73.7978,8.0527
1,3,task_poetry,6.2601,255.3871,222.4706
1,4,task_recipe,1.5794,4.8800,4.8800
1,4,task_poetry,1.5728,9.7970,8.4271
1,4,task_recipe,2.3576,11.7187,6.1797
1,4,task_poetry,2.4788,15.4388,9.5357
1,4,task_recipe,1.8849,18.1317,8.9091
1,4,task_poetry,3.4795,19.3458,6.1479
1,4,task_recipe,2.0187,20.5130,6.3542
1,4,task_poetry,2.2580,21.5497,5.3957
1,4,task_recipe,1.6882,22.9381,5.8300
1,4,task_poetry,1.2470,23.7843,4.8302
1,4,task_recipe,1.4858,24.0708,4.6350
1,4,task_poetry,1.6319,32.3716,20.7659
1,4,task_recipe,1.7896,33.3485,6.3757
1,4,task_poetry,1.8563,39.5962,20.5510
1,4,task_recipe,1.5081,40.6468,7.8557
1,4,task_poetry,0.7741,44.0275,9.7052
1,5,task_recipe,1.6519,4.8578,4.8578
1,5,task_poetry,1.7717,8.6774,7.1778
1,5,task_recipe,1.8411,12.8406,9.0494
1,5,task_poetry,3.8762,48.2273,46.6121
1,5,task_recipe,1.7730,48.6295,5.7567
1,5,task_poetry,1.8122,49.4944,7.4371
1,5,task_recipe,1.4417,49.6850,7.4451
1,5,task_poetry,2.1245,51.4055,9.9898
1,5,task_recipe,1.6959,52.4857,8.7841
1,5,task_poetry,4.8114,77.2837,43.6882
1,5,task_recipe,1.0604,77.5691,4.5030
1,5,task_poetry,1.1316,79.3892,14.7738
1,5,task_recipe,1.5490,79.4449,5.1883
1,5,task_poetry,4.6948,106.3625,44.4219
1,5,task_recipe,2.3632,106.5845,7.5931
1,5,task_poetry,1.3112,107.4173,5.9004
1,6,task_recipe,1.4833,6.1544,6.1544
1,6,task_poetry,4.9600,56.7298,56.2410
1,6,task_recipe,2.1056,58.5103,11.0703
1,6,task_poetry,5.8366,87.0341,51.5513
1,6,task_recipe,2.1954,87.2153,4.3909
1,6,task_poetry,1.7051,88.2904,9.6626
1,6,task_recipe,1.8022,88.4117,3.9352
1,6,task_poetry,1.1973,89.0983,6.4330
